X,TrigModule
-10.0,2.174837848394642
-9.0,-4.289905861880584
-8.0,-318.66184639778663
-7.0,-2.899232866954583
-6.0,6.521899653231892
-5.0,-39.43220535747262
-4.0,-0.6596726041747705
-3.0,-13.912031954099364
-2.0,-12.38467322274266
-1.0,2.499220416974886
0.0,NaN
1.0,6.479156297290258
2.0,-10.561069890539265
3.0,13.870982113795995
4.0,-3.4421042021930015
5.0,-41.141676548333685
6.0,-6.698294621093963
7.0,0.8845908297566369
8.0,-316.88544133404235
9.0,3.8408164960994045
10.0,-3.1768305225262647
