X,Log2
-10.0,NaN
-9.0,NaN
-8.0,NaN
-7.0,NaN
-6.0,NaN
-5.0,NaN
-4.0,NaN
-3.0,NaN
-2.0,NaN
-1.0,NaN
0.0,NaN
1.0,0.0
2.0,1.0
3.0,1.58496250070943
4.0,1.999999999557124
5.0,2.3219280938941482
6.0,2.584962499167007
7.0,2.80735491997747
8.0,2.999999997443311
9.0,3.1699249984598525
10.0,3.3219280915262797
